,without_tag
259,"  Inilah mengapa kita harus mendorong  &amp; Pak  segera memberikan solusi atas banjir Jkt&amp;melakukan aksi nyata.Jgn sampai hal ini terulang kembali dan menjadi kerugian untuk masyarakat Jakarta. Jika sudah dilakukan naturalisasi,sudah brp byk?"
260,"         Goal prioritasnya adalah jkt bebas banjir&amp;macet. Minimal di bulan selanjutnya di  atau minggu depan jika ada hujan, minimal banjir di jakarta berkurang. Bayangkan jika banjir melanda Jkt di saat weekday pasti macet parahItulah knp kita butuh data&amp;fakta Mana DPRD?"
261,  bahas dunk sudah berapa banyak/KM sungai yg dinaturalisasi dlm infografis?Apa antisipasi agar tak banjir minimal early warning ke masyarakat?Masyatakat  butuh data&amp;fakta bukan sekedar kata !!!    
262,"Sekali lagi, jualan ayat, mayat dan agama ada harganya yang harus dibayar.Banjir juga menggenangi RS Cipto Mangunkusumo (RSCM). Sejumlah alat medis dikabarkan rusak dan terendam."
263,Tiap hujan sll degan.. apakah aku hrs beli truk??!!!  
264,Jakarta banjir.   
265,Hujan .... sabar ya yg kena banjir
266," Para wanita aseli, dilarang berendem ke air banjir, krena nti bisa hamil, kata komisi ituh tuh.."
267,  Ayo mas sama sama analisa apa sungai di sekitar rmh mas telah dilakukan naturalisasi seperti program pemprof  ?Apa terdapat early warning sebelum bencana melanda?Apa sj yg sudah diimprove setelah  x  sebelumnya?pak  harus memberikan kerja nyata
268,"    Seharusnya tiap kali  banjir,  memberi data ke media berapa banyak sungai yg telah dinaturalisasi, berapa bayak daerah yg tergenang banjir di jakarta, berapa banyak biopori yang telah dibuat, apa yg akan dilakukan agar tidak terjadi banjir lagi."
269,     Iya  seharusnya ikut bertanggung jawab atas tweetnya yang menimbulkan polemik.Masyarakat  butuk aksi nyata dan improvement yang jelas&amp;terukur. Jangan tunggu hujan lalu banjir lagi lagi dan lagi. 
270,"   Pak, tolong update data naturalisasi sungai di  agar dpt meminimalisir bencana banjir Jakarta"
271,Menikmati Banjir Ibukota 
272,"Bukannya mengerahkan daya dan pikiran untuk mengatasi banjir, malah mikir balap mobil Formula E yang gak bermanfaat langsung untuk masyarakat Jakarta."
273,昨夜からの雨でジャカルタ含むジャボデタベックはあっという間に洪水＝banjir（バンジル）️検索すると、たくさんの動画&amp;コメント↓・洪水は学生をハッピーにする・タイティー️・私の家へようこそ・タイタニック「ジャックはどこ？」等明るい人が多い  
274,"Sekarang tiap pagi kita penuh perjuangan ke kantor karena banjirMau protes?""Woi perantau.. JKT uda biasa banjir, kalo gak betah keluar aja dari JKT""Gimana kalo penghuni JKT jd 'terbiasa' ??Program penanganan Banjir bisa jd prioritas terbawah dongs.. Uda terbiasa~"
275,No wonder  is in daily basis. He's good in canvassing not executing! 
276,"Depan jalan amil, smp fatahilah banjir kira cm.. kelurahan pejaten barat.    "
277, disini udah gak banjir. Nyalain listriknya bisa kaleee
278,"Di bawah tol Jatinegara banjir, motor masuk jalan tol "
279,"Jembatan yang blm lama diresmikan &amp; dioperasikan  /  bln yg lalu di jl Raden Patah,Tangerang..Sdh rusak dan tdk tahan lama,krn kualitas pengaspalan yg kurang baik..Mohon utk diperhatikan krn kalau banjir, lubangnya sangat dalam Terimakasih pak    "
280,"Sibuk dan rame,pada bingung mau lewat mana     "
281, salam dari warga menteng dalem palbatu  jakarta selatan nih pak   minta di tengokin 
282,"Dah mulai banjir  cm jalanan depan rumah, saluran air pun penuh, sepertinya petugas pompa ketiduran pagi ini, bahaya klo sampai lupa dinyalakan ... ini klo masih berlanjut hujan, bablas banjir beneran. Semoga hujan berhenti dan cepat surutnya. "
283,Banjir satrio di kedua arah. Pemotor dan kendaraan sedan harap hati-hati mengantisipasi kendaraan mogok.  
284, banjir di tebet.... 
285,"kasian bet temen gua, dah jalannnn. Pas nyampe eh banjir selutut:(  "
286,lapor pak  kiriman aer nya sudah kami terima dengan baik dan akan segera kami distribusikan..  
287,Akhirnya sampai juga setelah menerobos banjir.. 
288,"Hari ini bebas plat Gage, secara dimana banjir dan jalanan stuck macet parah.Jakarta makin amburadul dan kumuh.Tiap hujan banjir, menyedihkan.   "
289,Tadi pagi .  
290,"  with repostsaveapp   ・・・ Untuk Keamanan Warga, PLN Amankan Listrik Wilayah Terdampak Banjir.Berikut daerah yang listriknya sedang kami amankan akibat banjir di wilayah DKI Jakarta per … "
291,"Jakarta Banjir?Emang Gw Pikiriiin..Gembira Ajaaaa Yuuk  @ Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia "
292,Area terdampak banjir hari ini.... :'( @ South Jakarta 
293,"TRANSPORTASI UMUM••Dalam hal ini, menjadi alternatif yang fundamental disaat akses di daratan terkendala banjir musiman•• xnesia  ••   "
294,"Sahabat, hujan deras dari dini hari,   Februari , hingga pagi ini tak kunjung reda, menyebabkan Jakarta dan sekitarnya kembali banjir, ketinggian banjir pun cukup beragamBerdasarkan informasi resmi dari TMC… "
295,"""banjir di vespa lebih sering terjadi dibandingkan banjir ibukota"". (bensinnn banjir cukkk) (salam mesin kanan)         "
296,Wah kena banjir ya  
297,Buat mentemen yg ruma listriknya padam or tergenang banjir bisa bgt nginep di reddoorz utk stay safe &amp; comfy for a while. Bisa japri diriku karena harga yg ditawarkan dibawa applikasiy
298,  Kalau menurut bpk ferdinand curah hijan tinggi dr tahun sebwlumnya adalah hasil karya Pak Anies. Berarti Pak Anies itu benar orng cerdas. Karena yg kita tau banjir karena cuhar hujan yg emang tinggi dan meningkat dr tahun sebelumnya.
299,"Jakarta banjir terus , gabener nan  soleh dan santuy "
300,Tendean jir ini haha dari blok s ke arah pancoran di tutup banjir yg rawa barat. Yang dari pancoran arah ke blok m ditutup banjir di pondok karya. 
301,"Hallo sobat TPMMeskipun beberapa titik di wilayah Jakarta pada saat ini sedang terendam banjir, kita harus tetap semangat dalam bekerja yaa .Team cleaning dari TPM tetap selalu tersenyum dan memberikan pelayanan dengan sepenuh hati demi terciptanya lingkungan yang indah "
302,Gue kira  bakal menyerukan titik posko evakuasi banjir. Dan video  lagi berkoordinasi dengan Walikota se JKT. Ternyata gini doang  ? Ah DONGO lah!!! 
303,"Demo berjilid-jilid untuk memuaskan nafsu udel kuasanya  , kini datang adzab Allah SWT dengan banjir berjilid-jilid. Begitulah laknatullah pada seorang yang munafik lagi dzolim. Kadrun, mana ayat palsu mu ??"
304,"Bagi yang gabut dirumah karena kejebak banjir, siang ini  mau bagikan Informasi penting dari bang  . Yang blm follow disarankan utk follow segera mungkin. Bantu sebar RT yah gaess..Semoga bermanfaat yahh... "
305,"Keadilan itu redistribusi pajak untuk meningkatkan taraf kehidupan warga negara. Bukan distribusi air banjir, demi meningkatkan wabah penyakit warga kota."
306,"Gue bagikan ini ke sebuah group. Dengan alasan membantu warga WAG mengambil keputusan dalam berpergian. Eh, ada KADRUN DONGO nyeletuk : ""Jangan sebar hoax dsni, ini data !"" Buset, padahal dibawah tulisannya Created . Selain adzab banjir, ternyata Adzab DONGO juga ada. "
307, Wkkwkwkw banjir bukan termasuk force majure yaaa
308," Kaya kecoa hehehe, masa banjir banjir ada udang"
309,Saking sayangnya sama gabener  demo banjir pun ke mall Jakarta Garden City
310,MirisApa iya banjir ini menurunkan tingkat kemacetan? 
311,"Isi temlen banjir semua, mending gw upload video ini aja dah  izin ya ndoro "
312,"Warga Perumahan Pondok hijau Permai, Bekasi Timur dampak banjir pada dievakuasi setinggi bawu orang dewasa    "
313,Jangan sampe ada statement sudirman-thamrin-bundaran HI ga banjir.Yaeyalah di area itu sistem drainasenya udah jelas. Kalo banjir yo MRTnya kelelep
314," Padahal bendungan ya, wes dibendung tetep banjir "
315,"Ada berkahnya juga banjir, Rawamangun-PEL cuma  menit. Tak kira jalanan bakal banyak genangan, jd bawa si item, eh ternyata engga.Tau gitu tadi bawa si kuning, biar nyantai."
316,"Heemm ""warga di luar cluster JGC jadi terkena dampak banjir akibat pembangunan cluster perumahan JGC dan AEON mall. Diduga, pihak JGC mengalihkan pembuangan air ke pemukiman warga di luar kawasan perumahan """
317,"Ketika semua jalan ditutup karena banjir,  pemotor selalu ada cara,  bergelombol di simpang tol, berteriak ""darurat nih pak, kita lewat tol aja"" kemudian negosiasi dgn polisi dan petugas untuk masuk ke dalam tol. "
318,"Kampung di sekitaran kantor di Kuningan Barat terdampak banjir, parkiran gedung jadi tempat evakuai kendaraan dan dapur umum."
319,"“Banjir milik kita bersama, ayo kita obati banjir” boleh tp pajak gw balikin. Paok"
320," omg.. akhirnya anies mau kerja, setelah berkali banjir besar baru akhirnya dia mau penanganan, bukan pencegahan sih tp lumayanlah drpd gakerja sama sekali"
321," Hati-hati terhadap sperma yang sangat kuat, sperma ini bisa jadi membuahi binatang yang terkena banjir juga sehingga terjadi kawin silang."
322," Kitanya juga masih abai dengan safety sesimpel ngotak ngatik kelistrikan rumah sendiri, sambungan liar gitu. Kalo banjir ya susah ngedetect bocor alirannya tau nyetrum."
323," ini barusan bang, depan hotel  tandean, jalur biasa awak lewat dr pasar buncit tutup krna  "
324,     Hujannya rahmat &amp; banjir nya sholehah kata bapak itu. 
325,Bayangkan uang  Triliun buat penanggulangan banjir. Pasti bisa bikin banyak sumur.
326,Berikut Peta Banjir Jakarta. Semoga bermanfaat. 
327, Bangka langganan banjir wkwkwkw
328,Pokoknya banjir lab  
329,Rumah di Ciputat. Gayaan bahas banjir Jakarta. . Gw kasih link banjir lebih mudah diatasi jika saya jadi presiden. Ndokem ntar. 
330,"Di awal januari dan di akhir februari jakarta banjir, gausah saling nyalahin intropeksi diri aja semuanya."
331," Gua menerjang banjir gee mau gk mau tetep harus ke kantor, btw akses ke kampus lu banjir semua tuh, emang bagus laah di liburin, wkkw"
332,"Jakarta Banjir, Ini Daftar Lokasi yang Tidak Bisa Dilalui Kendaraan  lewat "
333,"Underpass Kemayoran Banjir Lagi, Terowongan Tenggelam Tertutup AirIni juga berulang.  Tanggungjawab Pemerintah Pusat. Sejak kejadian sebelumnya apa yang sudah dilakukan?   lewat "
334,"Buat elo elo yg sok netral soal banjir biar diliat opini lo unpopular, lo goblok. Sok lawan arus bela anies. Uda bayar pajak blm? Tau brp gaji yg dipotong per bulan buat ginian? Ngentot"
335,Ikut prihatin hari ini     terpaksa sepeda masuk Tol 
336, Opo sih su suwi lambemu tak leboni banyu banjir lho
337,"Yah, namanya juga manusia, dikasih banjir orang disalahin mulu... "
338," Mungkin atasan ga ngepush ke pasukan orange ,ini yang gue temuin ketika gue diskusi sama tmen gue yang pns dukcapil di jakut dia tinggal di bekasi ,rumah dia di bekasi banjir parah dan pemprove bekasi pun ga ada yang turun sama sekali kata dia ! Dan dia juga pun dapet vn."
339," Dari gub vn nya ""TOLONG SEMUA JAJARAN PEMPROVE DKI AGAR TURUN KE KELURAHAN BANTU MASYARAKAT YANG TERKENA BANJIR"" apa itu ga ngepush ?"
340, Banjir dil
341,"Dan terjadi lagi, kisah banjir yang terulang kembali "
342,Tendean banjir 
343,"Buka TV banjir, buka FB banjir, buka Twitter banjir,buka dompet kok kering "
344,"Alhamdullilah rumah gue gak kena banjir, tapi semua akses banyak tertutup karena banjir. Bukan cuman akses jalan yg tertutup, nurani dan pikiran Gubernur  juga masih tertutup. Anyway Gubernur DONGO lagi dimana ? Bantu apdet dong... "
345, Kuningan ke arah grogol sih banjir
346,"Ga sempet ngefoto anak anak yg lari kegirangan ke arah daerah banjir ""yeeaayyy banjiirr"""
347,Buseeet.    
348,Kosan Dan kantorku Aman dari banjir hamdulilah
349,Dan semoga ga banjir 
350, banjir gaa
351, itu kantor lu banjir?
352,"Kemang Raya, Jalan Bank, dan Jalan Tendean udah pada banjir ya gue gak berkutik sih. :’)"
353,BANJIR TEROSHHH
354,"Mau komentar ttg banjir, tp pasti sebagian jg ada yg bersyukur krn bisa ngk berangkat ngantor.. "
355,Jakarta siaga banjir di beberapa titik. Hati-hati ya semua. Kalau sempat jangan lupa sarapan yang enak. You deserve that.
356,Jir.. Jir.. Banjir
357,Makasih pa gabener... Dikasih banjir di hari kerja... Jadi sy bisa libur dan banyak waktu dengan keluarga di rumah... Demikianlah ungkapan hati pegawai kantoran yg diliburkan kantornya
358,"KALO MASIH HARUS KELUAR RUMAH PAKAI MOBIL, PLEASE JGN PAKAI  sepertinya ia tdk bisa deteksi jalan tutup Krn  Saya terjebak di KEMANG-BANGKA karena semua akses tertutup."
359,  Kalo udah gini timmya goodbener sholeh bukannya sibuk cari solusi banjir tp sibuk cari materi ngeles yg paling mutakhir!!
360,Mantul banjir
361, di tol jatibening arah jakarta.*Gambar diambil td pagi +-;  
362,
363, Ganjil genap berlaku gak pak? ribet nih dimana-mana banjir
364,"Bohong + ngarang jual kesolehan  ""Banjir cuma di hari libur"" ..oww hari Selasa ini banjir gedePendukung Gabener : Banjir besar sellu hari libur kalau bukan nies gubernur soleh ini pasti terjadi senin selasa rebo ..kode cair gaes  "
365, sedih juga klrga saya di cempaka putih makin sering banjir dan lbh tinggi diatas mata kaki di dlm rumahbagian dari kesabaran adalah terus berdoa supaya Pemimpin DKI cepat diganti
366,  Yaa kalo saya sih mending banjir dari pada neraka
367,Seminggu  kali banjir wajar ga sih? Kimakk
368,"Jalan lewat mana nih yang ga banjir, Tanah Abang, Sudirman dan Rasuna wess ambyarr.."
369,"busway arah ragunan monas via kuningan gaada karena banjir, sekalinya ada cuma sampe kuningan madya. Alhasil arah monas cuma bisa naik yg via semanggi, dan taudong gmn padetnya itu didalam busway  "
370,Waspada  
371, jakardah lokal hujannya bahagia warganya ?   
372,Waspada   
373,efek banjir sendal ini handalannya....ga tergantikan dah  
374,  Kebayoran Baru daerah Poncol sdh banjir pak... Kesian pak...
375, Banjir di Kebayoran neh pak... Aduhhhhhh yg penting dong diurus... Gk penting ya di batalkan saja
376,"banjir lagi, gimana berangkat ngantornya ini..."
377,"sekarang tiap ujan pasti banjir, udah gitu weekend lagi, heran gw tuuuh..."
378,Ujan lagi. Banjir lagi. 
379,"Hal pertama pagi ini adalah cek trending, karna ujan dr semalem dan bener..trending Stay safe everyone"
380,Tengah malam ujannya awet deres smp skrg. Banjir lg ini mah. Kemarin siapa yg bilang kalo banjirnya hari libur? Begadang boleh jangan?   
381,"Apakah kelak ""tidak terkena banjir (khususnya di tempat tinggal)"" menjadi sebuah keniscayaan di Provinsi ini serta Kabupaten/Kota sekitarnya?"
382,jl bangka menuju kemang ditutup banjirrrrrr 
383," di JKT sekarang udh ga tinggi lagi,  tapi sering! "
384,Ya. Ini banjir yang ke- tahun ini.
385, banjir mana boy
386, Rumahmu aman? Ga banjir?
387,"Hadeuuuhhhhh jakarta banjir gila an ,,, formula E jalan terus"
388,  uhuyyy banjir maning
389,rekor baru utk banjir jkt 
390,barusan dr muara baru pelabuhan ikan gak banjir tuh padahal dsebelah laut?? 
391, alhamdulillah smb numpang g banjir mas
392, lu banjir g binus
393,"Masih bingung. Dari awal tahun banjir bertubi-tubi. Dari daerah yang nggak pernah banjir, tiba banjir.Namun, nggak ada action plan sedikitpun dari gub Jkt. Malah pamer  yang cuma di Sudirman. Pake edit langit biru segala."
394,Turut prihatin daerah yg masih terkena   semoga lekas surut ya gaes 
395," Rakyat menunggu di ungkapkanya semua otak² yg cerdas mengatasi BANJIR yg ada di Jakarta, bukan karena formula E yg ngawor &amp; terlihat sangat NGACO karena formula E itu lebih penting ketimbang mengatasi banjir yg ada di JakartaMungkin org ini belom berenangWoy"
396, I got it 
397,"Malam hujan tuh enak bikin tidur nyenyak, tapi klo ujan nya gede riskan banjir kayak kemarin.Jam set. gue dibangunin dan air udah naik dong."
398,Banjir - Kunjungan - poto - banjir - kunjungan - poto Gitu aja terus sampe Sinchan lulus kuliah 
399, Wakakaka.. Ia tapi td pagi lewat mall cp jam nan udah gpp sih.. Cm di jktinfo trisakti banjir...
400,"Jakarta Banjir lg mlm yaaa duh, ini tanda apaan sih"
401,Jakarta banjir lagi. Enjoy sunday ! 
402,banjir banjir gini logika si ibu yg dr  itu bakal kejadian gasih. kasian amat yg kena banjir perempuannya terindikasi bisa hamil
403,banjir mulu 
404,Selamat Hari Minggu gaes.. jangan lupa BAHAGIA walau berjauhan dengan si DIA.. met  Singer :  Figuran :   Camper :    moga cepet surut 
405," Rumah saya n sekitar nya ga pernah kena banjir,makasih ya atas perhatian nya.rumah perrikun gimana aman kah"
406,"Pada banjir lagi ya? Kmrn gue balik jam  dari Kayuputih ke Semanggi, hujan emang deras bgt sih. Stay safe and jaga kesehatan!"
407, Itu katanya hanyut kebawa banjir gitu. :(
408, Lek ngerti dewe nek thamrin-sudirman sing kerep dibanggake bus edan ae banjir piye sing wis daerah rawan
409, Nah....Eug sih dirumah nyokap gak pernah banjir....Semoga cepat surut deh  
410,"Subuh"" sudah di suguhkan dengan kolam renang Jakarta banjir "
411,Jakarta banjir lagi di Hari Minggu
412,"Pengen tidur, tapi was - was sama banjir udah masuk kompleks "
413,"Anak jakarta selatan, daerah kalian banjir gak ?"
414,"Makanan Rohani  Menit, dari lokasi bencana banjir bandang, Sangihe:“Tetap andalkan Tuhan” "
415,Banjir lgGara penasaran Aq beneran bs squirt  apa gakPas lihat qu bs squirGenjotanya makin kencengJd makin bajir dah aahKlo ditrusin bs tambah luber tuh kasurnya 
416,Banjir banjir.
417,"Baca berita ini sampai tuntas, memang ternyata resepnya sederhana aja. Yang penting DIKERJAKAN dan terus-menerus. "
418,"Rapat Kerja Komite- DPDRI dgn Mentri Kesehatan RI, di suasana banjir &amp; macet di DKI Jakarta. @ Dewan Perwakilan Daerah Republik Indonesia - DPD RI "
419,Listening to the sound of raging waves while sipping my favourite tea in this loveling morning.  @ Rumah Gue Banjir 
420,"Ketika banjir besar zaman Nabi Nuh, nggak ada yg nyalahin dan mbuly Sang Nabi.Tapi dizaman now, banjir di ibu kota negara habis²an mbuly gubernurnya."
421,"Lucu ya dengan orang yang suka menyalahkan orang lain atas kesalahan sendiri, jakarta banjir nge judge nya ke orang, bilang gak becus bla bla blahey dude, you have a mirror ?Yuk ngaca bareng kita udh bener blm jaga lingkungan, buang sampah aja masih pada gak ditempat nya "
422,"    Setiap banjir tanda tangan  Milyar, makanya mau ustad, jawara dan gerombolanya bela mati"
423,Mana TOA....TOA GUOBLOOOKBanjir Kok TOA mau khotbahNies....Anies  kamu atau consultanmu yang pekok       
424,   Anies.....anies program mu ga mutu Banjir vs TOA
425,Banjir? Macet? Bodo teuiiing!!!Nu penting mah aing nyapres !
426,"Dari pilihan katanya saja terlihat JAHAT, walau nampak sopan .Siapa yg gak ngizinin sih?"
427,  Mau aku kirimin safety boots ga? Biar aman terkendali dari banjir
428,"Pemprov dalam hal ini bukan bapak anies aja kok. Banyak yang bertanggung jawab untuk banjir Jakarta. Tapi, sebaiknya dimulai dari jabatan tertinggi di Jakarta. Beri kebijakan dan penanganan. Kalau bicara intropeksi diri sendiri, masyarakat punya segudang masalah. Masa ditambahin?"
429,Udah berjuang nerjang banjir sampe muter muter cari jalan. Sampe kantor cuma ada mba admin yg ngekos sebelah kantor. Dan yg lain ga masuk. FAK!!!!!!!
430,Di Manggarai... dari jam  pagi. Nunggu  jam karna jalanan pd banjir. Dapet gojek ke tempat kerjanya jam  lewat. Padahal brngkt dr depok subuh. Jakarta keras cuy... 
431, komen dong soal banjir HARI INI~Diem bae 
432, 
433,Yah allah banjir dimna mana 
434,"Perencanaan kota-kota mandiri biasanya berujung kearah segregasi di lingkungan sekitar, gak kaget akhirnya mereka yang teeimbas banjir akan menyalahkan kota-kota ini "
435,Itu coba yg ngomong banjir cm di hari libur disuruh ngokop air banjirnya
436,"Waktunya berkembang biak, banjir di mana-mana, bisa renang kapanpun, di manapun"
437,"Gubernur aing ge gitu aja, padahal Bekasi banjir lagi hari ini "
438,"Buka tv banjir, buka whatsapp banjir, buka twitter banjir, buka dompet kering. Nasib "
439,"""Eh kirimin story lo yang banjir dong, mau gue kirim ke Grup Kantor gue"""
440,"Anies gubernur soleh = banjir hari liburJika hari selasa banjir, maka? "
441,pengen deh ngerasain banjir wkwk. ga deng boong~
442,"Beberapa bulan yang lalu joke soal banjir masih sangat tabu, until someone push the limit. And he made it. Batas toleransi bercanda soal banjir kian luas. Dan itu yang dibutuhkan Indonesia sekarang. Bercanda itu salah satu cara menyampaikan kritik.  "
443,"Buka WA banjirBuka Facebook, IG &amp; Tweeter banjir semua..Buka dompet kering "
444,Saat yg lain sibuk sama banjirGw sibuk ngebucin..... 
445," dan sekitarnya. Coba absen, siapa yg kena imbas  hari ini? "
446,Apakah banjir jkt saat ini itu yg dimaksud naturalisasi???masy.miskin info apa yg dilakukan utk minimalisir banjir....sejak  blm ada hasil yg terlihat nyata
447," Coba air banjir di jakarta sebening ini, saya yakin anis bisa jadi pesinden (,"")"
448,"Seperti yg saya duga, banjir ini dipelihara, upaya narasi seperti ini tetap bisa digaungkan, mereka msh ngerasa Jokowi bisa capres lagi  "
449,"Banjir, pd telat"
450," Ngga zheyenk beneran, soalnya mau kedaerah gatsu juga tgl segitu. Btw banjir ga kantor?"
451,“Banjir boss”Be like: 
452,Bencana banjir gini udah ga lucu lagi buat becandaan. Sumpah ini tuh ada yang salah!
453, Ke kantor menerjang macet dan banjir cuma utk ambil laptop biar bs WFH 
454," Jakarta banjir hari libur, berenang hamil?"
455,"“selamat pagi” dan ""selamat malam” itu tergantung siapa yang mengucapkan."
456,"Kemarin sempet nyaranin temen buat beli rumah tapak aja karena beli apart sepertinya kurang menjanjikan utk investasi jangka panjang, apalagi tidak dihuni. Tapi kayanya sekarang apartmen jauh lebih worth jika jakarta terusan banjir."
457,"Yang mau ke arah radio dalem, dari MT.haryono mending lanjut lurus aja via Gatsu lebih Aman, gak Ada genangan "
458,"  Jalur  di Sta. Tenabang kerendam banjir, Mas, jadi cuma  jalur yg bisa dipakai. Semua rute Tenabang-Rangkasbitung terlambat."
459,Pa'bro  semoga tidur anda nyenyak semalam. &amp; Kiranya hari ini blusukan ke titik berat banjir. Good luck little brain
460, Buat teman dan rekan yang akan beraktifitas hari ini bisa cek lokasi-lokasi banjir disini agar bisa diantisipasi dan dihindari  
461,"hujan terus, baiklah. Banjir terus?"
462,Amin semoga   lekas surut ya  
463,Yeahh banjir everywhere 
464," om, tol jor dan jakarta-tangerang banjir gak?"
465,Daerah kalian banjir kah? Semoga segera surut ya.
466,"Tumbenan nih kos nggak banjir, biasanya yg lain banjir sini juga gamau kalah"
467,Efek banjir tuh mmg kemana ya.. jalur sultan krl aja sampe ketahan mulu.. hadehh  
468,Manusia tertambeng hampir hampir tiap hari jadi trend topik loh...Kasian sama yg kena banjir berkali kali.
469, Eh beneran banjir loh
470,Nih otak buat mikir..  
471,"TOA MANA TOAAAAA WOYYYYYY  setiap hujan, BANJIR terussolusi mana?? Gak butuh rangkaian kata disinii"
472," jam lalu baru aja terabas banjir di Boulevard Gading, sedengkul, air sampe masuk kabin ±  cm, Alhamdulillah masih jalan dan gak ada yang aneh sama mesin mobil. Semoga besok ke bengkel gak kenapa-napa."
473, Bulan  Kali Banjir Gokill
474,""" DKI banjir lagi ya..kata abang-abang jawara, banjir itu berkah "" -  "
475,datang lagi musim hujan BANJIR. 
476,"Boro"" ngaceng, burungnya pd kedinginan,, di mana"" banjir"
477, Adminya masih beresin kasur dari banjir
478,"Paling jauh keliling eropa, abis budget jt... Sisanya nyari suaka  kidding... Sisanya dpt rejeki dibayarin.Stelah kejadian banjir kmrn, jd mikir utk ga beli bnyk barang, krn ribet bgt nyelametinnya. Rmh pun kayanya ga mau yg lebar, maunya ditingkat aja. Dh. "
479, Ke bagian banjir semua kan 
480, Banjir gk tempat kamu??
481,"   Banjir Pulomas nih, anies udah dilantik kan ya, wkwkwk "
482,Banjir di Jakarta dng Kolam Renang punya kesamaan = sama bs menyebabkan hamil 
483," years ago ""Banjir terjadi karena pemimpinnya kafir dan jumawa"", coba skrg di balik ""Banjir bertubi-tubi di Jakarta tahun ini bagaikan jawaban Allah akan umatnya yg suka menistakan agama &amp; membohongi sesamanya pakai ayat suci untuk kepentingan meraih suara demi kekuasaan."""
484,"  pak ada baiknya bapak foto macam action nyata untuk mitigasi banjir jakarta, apa kek, pompa baru sambil jumawa bakal bisa nyedot air berapa kubik tanpa rusak, foto bantaran sungai yg di naturalisasi kyk singapura."
485,"   nggak bang, banjir soalnyee"
486,Galau banget nyuci mobil apa kaga tapi inget semalem abis nerjang banjir kemang dan kuningan arkkkk
487,Tumben lho sudah  jam  gak ada ngetwit masalah banjir minggu dini hari?? 
488, Jangan sering ya buLagi musim ujan banyak banjir banyak yg hamil nanti
489,"""Dari jaman kumpeni jakarta udah banjir, siapa suruh bangun di jakarta"", kata seorang pemuda yg sehari hari menanam kursi "
490,"  Ambil positifnya, sekarang banjir semakin inklusif. Udah merata. Semua tempat bisa kebagian, ga ada yang ngiri lagi kan."
491,Jakarta itu sejak dulu memang sudah banjir. Jadi harap maklum katanya
492,Orang Terkaya RI Sebut Banjir di Era Anies Lebih Cepat Surut 
493, Gak banjir rumah lu?
494,"Semalam hujan. Beberap tempat banjir. Imbauan buat warga (khusus perempuan). Jangan terlalu banyak keluar rumah, apalagi di lokasi yg ada genangan banjir. Nanti bisa hamil. Sekian.  (?)"
495,    Baru bulan aja nga tau udah brp x banjir
496,Apakah Sesungguhnya Banjir itu Tentara Allah SWT yang diutus untuk 'menenggelamkan' Gabener hasil jual AyatNya?  Tanya Bang Somat sama Bang 
497,"  Banjir, atasilah dengan Toa.Bancot, atasilah dengan Gabener"
498,"suatu ketika.. Kamu hamil sama siapa,jawab jujur..! Maaf pak kemarin aku abis berenang lupa pake Daleman  "
499,"  Hati Buat Para Wanita Jangan Maen/lewat Daerah  Bareng ams Laki ya,Ntar Kalo  Repot Loh,,,    "
500,"Mudahan didenger Aduan Warganya buat Pak Gubernur   lagi nih,Mudahan Proyek  ga Ke   ye,,,  "
501,Loooh calon ibukoto barunya banjir. 
502,Rasuna Said ini drainasenya parah banget dah. Langganan tetap kalo hujan deres pasti banjir. 
503,Siapa ini yg belum matiin keran aer depan rumah? Jakarta banjir lagi kan jadinya
504, Ah sarinah banjir? Wow
505,Abis petualangan membelah banjir jakarta bersama  &amp; 
506,"Februari sudah mau selesai tapi curah hujan yang menyebabkan banjir masih tinggi ya. Nah, ini himbauan  ketika banjir melanda.Stay alert ya! "
507," Maksud Jkw banjir duit dan banjir pendatang,kalau banjir air,jangan tanya,luubeeer..!"
508,Atau klo hujan bisa kayak gini nih...Ngeri kan klo ada lubang trus gak keliatan krn banjir. Iyes pdhal serame ini jalannya. 
509, Sing banjir rejekina cspap
510," Hujan hati"" banjir lagi"
511,"Baru tahun ini banjir, selama tinggal ga pernah tuh aer masuk ke dalem rumah  "
512,Seumur selain hari raya cuti bersama tol JoRR kosong melompong kayak gini (Bekasi Cikampek Banjir) 
513,-- Pukul . Wib  
514,"Banjir terpancen oye dari  tahun ku di Jakarta :)))Mana posisi ku sm adek lagi nginep dirumah temen, jadi dirumah cuma ada bapak sama ibu huehee sungguh anak yang berbakti   "
515,"Banjir!!!! seumur hidup tgl di sini baru kali ini banjir, good job pak anies! "
516, sudah berangsur surut. 
517,"Astagfirullah Pagi udh kejebak banjir aja,  gimana mau ke kantor nih gw kalau jalanan seperti ini!!   "
518,Baru kali ini dalam rentang waktu  bulan kena banjir duakali. Pertama  januari  kedua hari ini  februari  padahal tahun-tahun kebelakang ga pernah kena banjir      
519,"Ketika  ada aja yang se-enaknya parkir,buka pintu pas bangun,tau udh ngejogrok aka entah mobil siapa,padahal tiap pagi buat jualan,sampe yg mau beli pada miring cari tempat buat nunggu     "
